lesson_id,title,strand,sub_strand,learningOutcome,keyInquiryQuestion,suggestedLearningExperience,activityInstructions,mapped_topic,mapped_subtopic,source_file_reference,child_friendly_goal,vocabulary_needed,representation_needed,example_type,practice_type,quick_check_type,difficulty_limit,video_needed,visual_needed,source_pack_status,human_input_needed,safe_to_generate
"9b887eb8-0a48-4f37-9689-b53113904728","Introduction to Quarters Using Rectangular Cut-outs","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Quarters","1.3 Fractions","Today you will learn what a quarter is. A quarter means one of four equal parts.","whole, quarter, equal parts, fold, shade","paper folding, rectangular cut-outs, shading","Fold a rectangular paper into 4 equal parts. Each part is one quarter.","Fold, shade, and identify quarters in shapes","identify-quarters-shape","Quarters only (1/4). NO arithmetic.","NO", shaded fraction","fractions-draft-pending-review","identify-fraction-shaded / identify-fraction-parts","NO", NO arithmetic","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"839653eb-cd5e-405b-a483-b6d307fee352","Comparing Fractions: 1/2 and 1/4","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Comparing Halves and Quarters","1.3 Fractions","Today you will learn to tell the difference between a half and a quarter.","half, quarter, equal parts, whole, compare","side-by-side shapes, shading","Show a shape with 1/2 shaded and a shape with 1/4 shaded. Compare.","Identify which fraction is shown: 1/2 or 1/4","identify-fraction-halves-or-quarters","Halves and quarters only. NO comparing which is bigger.","NO", shaded fraction","fractions-draft-pending-review","identify-fraction-shaded / identify-fraction-parts","NO", NO arithmetic","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"b163de06-c0e5-4a42-8bce-ba7dcab330a9","Making Patterns with Fractions","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Fraction Patterns","1.3 Fractions","Today you will learn to make patterns using halves and quarters.","half, quarter, pattern, repeat, sequence","shaped patterns, alternating fractions","Create a pattern: 1/2, 1/4, 1/2, 1/4... using shaded shapes.","Continue a fraction pattern and create your own","identify-next-in-fraction-pattern","Patterns using 1/2 and 1/4 only.","NO", shaded fraction","fractions-draft-pending-review","identify-fraction-shaded / identify-fraction-parts","NO", NO arithmetic","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"dbadac3a-b59b-4f76-bebf-efda6fb3e261","Digital Games with Fractions","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Digital Practice","1.3 Fractions","Today you will practice fractions by playing a fun digital game.","half, quarter, equal parts, game, score","interactive game elements, shapes, shading","Play a game: match the fraction to the shaded shape.","Interactive fraction matching and identification game","identify-fraction-from-shape-game","Halves and quarters identification only.","NO", shaded fraction","fractions-draft-pending-review","identify-fraction-shaded / identify-fraction-parts","NO", NO arithmetic","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"c71a49c8-e9c6-41e5-b6ef-ad0aa386a59f","Fractions: Practice and Application","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Practice and Application","1.3 Fractions","Today you will practice everything you know about halves and quarters.","half, quarter, equal parts, whole, shade, identify","varied shapes, real objects, shading","Mixed practice: identify, shade, and create fractions.","Mixed tasks: identify fractions, shade fractions, equal vs unequal","mixed-fractions-practice","Halves and quarters. Equal vs unequal parts.","NO", shaded fraction","fractions-draft-pending-review","identify-fraction-shaded / identify-fraction-parts","NO", NO arithmetic","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"2e1869d6-f5df-46a1-9d02-b4b53a1062fe","Fractions: Assessment and Reflection","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Assessment and Reflection","1.3 Fractions","Today you will show what you know about fractions and think about what you learned.","half, quarter, equal parts, whole, reflect","assessment shapes, reflection prompts","Review: what is a half? what is a quarter? what are equal parts?","Assessment questions + reflection prompt","fractions-assessment-comprehensive","Halves and quarters. Equal vs unequal. Fair sharing.","NO", shaded fraction","fractions-draft-pending-review","identify-fraction-shaded / identify-fraction-parts","NO", NO arithmetic","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"4fa40ac0-f60d-4f98-9d23-f85566b28af6","Adding Using the Number Line","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"5f1f7551-1c06-40d2-a10d-14cdece75151","Adding 3 Single Digit Numbers Horizontally","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"70fdce2b-3284-4c89-8497-036aee7d9207","Adding 3 Single Digit Numbers Vertically","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"f58faf50-97f7-4340-b17f-9eff6f08e38d","Adding Single Digit Numbers Vertically","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: add 3-single digit numbers up to a sum of 20","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"3b7a611d-0908-42c8-a0f2-394fdac48db3","Addition: Digital Games","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"0f23169f-b325-40a9-9145-488f5115142b","Addition: Word Problems with 2-Digit Numbers","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"4db719cc-28b2-4a24-82f3-71509f643d54","Addition: Assessment and Review","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"4da16052-0c43-48f6-8413-b802526461f0","Addition: Missing Numbers in Patterns","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"fe6f4998-52b5-40eb-8e39-2e8e3432b8ab","Addition: Creating Number Patterns","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"627e0732-926b-4f12-9f0c-a13f170e747a","Addition: Community Application","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"a669d5eb-9e51-4270-a439-7cd2568c5daf","Addition: Practice and Application","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"17d7857a-a622-4b09-8524-db7be78977f8","Subtracting 2-Digit Numbers Without Regrouping (Vertical)","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"b546d836-3292-48a1-b445-134e85b30e20","Subtracting 2-Digit Numbers Without Regrouping (Horizontal)","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in subtraction of up to 2-digit numbers","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"11d88b45-b1a6-4143-9c04-42e88e57d080","Subtracting Single Digit Numbers","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: subtract up to 2-digit numbers without regrouping","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"bec50c90-2129-4275-8cdb-abb06296e4cf","Subtracting Using the Number Line","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: use the relationship between addition and subtraction in working out problems","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"93e1418a-7f84-4a4c-864a-be2e6b12cdfb","Word Problems: Subtraction Within 100","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"e20dbfd4-eba4-402d-8743-8e24e00475a2","Using Number Families for Subtraction","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"66cdd3b3-858d-4be2-a451-b2f2340bc852","Missing Numbers in Subtraction","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"a2c19258-4fce-4d87-bb6b-c92e5d79e3b2","Subtraction: Practice and Application","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"a295ff53-4930-4a82-b76d-38b0f6acd3ec","Subtraction: Digital Games","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"c6bb3650-4995-47df-98ac-e3e34411aff4","Subtraction: Word Problems","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"7a0a98dd-9540-47fc-9fc5-7d8af38527df","Subtraction: Missing Numbers in Patterns","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"23d35317-4c2b-4118-ae0e-11c80e8c85ea","Subtraction: Creating Patterns","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"85f7ad4c-a8d7-4aea-b5fc-b8d372d37a3f","Subtraction: Comparing Groups","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"54d40989-42ac-4220-9204-2a90fe73aa35","Subtraction: Community Service","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"01f283c3-2b7c-44ea-9d2a-8d7782a8cb1a","Subtraction: Review and Reflection","Numbers","1.5 Subtraction","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving subtraction up to 100","How do you work out missing numbers in patterns involving subtraction?","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Learners in pairs/groups to subtract single digit numbers by comparing groups of objects. Learners to subtract up to 2-digit numbers without regrouping in horizontal and vertical forms. Learners to di","Subtraction","1.5 Subtraction","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, crossing out, number line","worked example with borrowing/no-borrowing","TODO: Victor to provide","subtraction-fact-no-negative","max 3-digit - 3-digit, NO negative answers","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
